29,238,152
198,148,213
39,205,176
91,254,153
53,174,77
170,14,40
48,136,187
164,142,252
30,253,86
152,251,118
57,201,192
205,103,102
236,91,133
200,97,99
87,242,66
169,142,153
52,225,30
228,26,117
14,65,62
219,103,103
125,95,164
212,155,72
199,244,204
135,117,94
226,45,147
249,17,212
178,58,40
159,61,45
239,38,200
228,161,81
190,230,69
182,189,48
103,211,40
164,144,144
202,113,141
129,104,168
227,180,136
19,62,65
214,42,58
43,52,143
52,208,38
253,77,214
236,14,49
237,229,196
130,154,215
89,59,75
67,198,189
247,52,171
29,74,140
207,188,45
254,23,205
117,88,104
160,146,21
0,74,45
91,2,179
141,142,235
112,20,63
121,248,149
243,187,51
48,108,144
48,89,17
159,39,162
213,64,109
41,112,60
157,16,157
221,180,4
239,127,70
224,205,57
53,136,181
213,94,87
23,67,181
41,69,35
210,144,228
176,58,188
180,161,236
12,179,227
154,154,158
21,233,18
130,124,140
193,238,34
32,84,163
4,57,50
245,11,231
77,229,159
56,117,46
45,242,160
112,142,147
160,80,184
191,165,205
108,246,44
121,203,252
130,133,194
44,201,33
6,178,225
88,209,165
44,123,141
43,71,128
54,47,245
84,215,18
97,184,52
190,218,60
91,131,236
93,150,59
165,60,253
31,214,120
72,160,190
237,195,122
53,50,31
75,229,39
44,252,179
168,77,109
252,52,235
68,247,227
64,132,234
223,211,141
111,157,247
153,196,135
215,89,4
141,247,197
88,39,11
48,86,173
167,14,25
152,154,98
129,2,41
38,38,230
226,203,210
85,131,122
160,188,34
29,23,157
190,87,242
78,108,165
31,13,220
58,59,105
167,181,108
202,130,88
89,52,158
199,194,226
39,169,149
102,159,137
119,181,252
248,15,238
72,25,4
37,213,65
140,31,26
139,46,44
201,28,158
240,152,226
132,32,59
45,71,149
148,165,123
117,18,6
95,215,242
192,191,37
181,172,127
62,193,69
4,124,28
219,9,210
118,31,31
247,53,56
59,143,112
174,95,109
163,126,136
156,78,193
211,46,126
233,179,109
160,91,48
227,35,118
134,210,115
165,155,76
79,3,251
170,72,226
26,157,45
16,250,62
133,112,155
36,101,162
9,176,54
48,64,201
41,90,55
239,71,145
212,205,106
255,61,177
167,212,236
61,170,236
147,58,85
202,174,236
23,95,140
163,145,177
233,225,145
91,204,101
9,178,123
226,16,207
13,237,14
205,62,53
214,181,240
157,203,218
